year,level_1,level_2,value
1975,All Items,Health Care,25.926
1975,All Items,Transport,30.354
1975,All Items,Communication,133.733
1975,All Items,Recreation & Culture,56.304
1975,All Items,Education,17.269
1975,All Items,Miscellaneous Goods & Services,30.596
1976,All Items,Food,40.275
1976,All Items,Food Excl Food Serving Services,na
1976,All Items,Food Serving Services,na
1976,All Items,Clothing & Footwear,76.288
1976,All Items,Housing & Utilities,41.541
1976,All Items,Household Durables & Services,57.343
1976,All Items,Health Care,26.625
1976,All Items,Transport,31.662
1976,All Items,Communication,133.733
1976,All Items,Recreation & Culture,56.407
1976,All Items,Education,17.418
1976,All Items,Miscellaneous Goods & Services,31.313
1977,All Items,Food,42.295
1977,All Items,Food Excl Food Serving Services,na
1977,All Items,Food Serving Services,na
1977,All Items,Clothing & Footwear,77.418
1977,All Items,Housing & Utilities,42.009
1977,All Items,Household Durables & Services,58.486
1977,All Items,Health Care,27.051
1977,All Items,Transport,31.851
1977,All Items,Communication,133.733
1977,All Items,Recreation & Culture,56.399
1977,All Items,Education,17.751
1977,All Items,Miscellaneous Goods & Services,32.032
1978,All Items,Food,44.696
1978,All Items,Food Excl Food Serving Services,na
1978,All Items,Food Serving Services,na
1978,All Items,Clothing & Footwear,78.886
1978,All Items,Housing & Utilities,41.998
1978,All Items,Household Durables & Services,59.579
1978,All Items,Health Care,28.204
1978,All Items,Transport,33.54
1978,All Items,Communication,137.824
1978,All Items,Recreation & Culture,60.518
1978,All Items,Education,18.685
1978,All Items,Miscellaneous Goods & Services,33.142
1979,All Items,Food,45.815
1979,All Items,Food Excl Food Serving Services,na
1979,All Items,Food Serving Services,na
1979,All Items,Clothing & Footwear,81.671
1979,All Items,Housing & Utilities,44.134
1979,All Items,Household Durables & Services,62.184
1979,All Items,Health Care,29.245
1979,All Items,Transport,36.872
1979,All Items,Communication,139.199
1979,All Items,Recreation & Culture,63.459
1979,All Items,Education,19.506
1979,All Items,Miscellaneous Goods & Services,33.59
1980,All Items,Food,49.687
1980,All Items,Food Excl Food Serving Services,na
1980,All Items,Food Serving Services,na
1980,All Items,Clothing & Footwear,83.202
1980,All Items,Housing & Utilities,50.156
1980,All Items,Household Durables & Services,65.815
1980,All Items,Health Care,31.315
1980,All Items,Transport,42.146
1980,All Items,Communication,139.199
1980,All Items,Recreation & Culture,65.411
1980,All Items,Education,21.133
1980,All Items,Miscellaneous Goods & Services,36.505
1981,All Items,Food,54.563
1981,All Items,Food Excl Food Serving Services,na
1981,All Items,Food Serving Services,na
1981,All Items,Clothing & Footwear,84.703
1981,All Items,Housing & Utilities,52.79
1981,All Items,Household Durables & Services,68.291
1981,All Items,Health Care,33.277
1981,All Items,Transport,46.887
1981,All Items,Communication,139.199
1981,All Items,Recreation & Culture,71.243
1981,All Items,Education,22.489
1981,All Items,Miscellaneous Goods & Services,39.245
1982,All Items,Food,57.247
1982,All Items,Food Excl Food Serving Services,na
1982,All Items,Food Serving Services,na
1982,All Items,Clothing & Footwear,85.067
1982,All Items,Housing & Utilities,54.741
1982,All Items,Household Durables & Services,69.64
1982,All Items,Health Care,35.044
1982,All Items,Transport,48.178
1982,All Items,Communication,139.199
1982,All Items,Recreation & Culture,72.079
1982,All Items,Education,22.9
1982,All Items,Miscellaneous Goods & Services,41.335
1983,All Items,Food,57.352
1983,All Items,Food Excl Food Serving Services,na
1983,All Items,Food Serving Services,na
1983,All Items,Clothing & Footwear,85.02
1983,All Items,Housing & Utilities,55.202
1983,All Items,Household Durables & Services,70.402
1983,All Items,Health Care,37.824
1983,All Items,Transport,48.739
1983,All Items,Communication,139.199
1983,All Items,Recreation & Culture,72.242
1983,All Items,Education,23.578
1983,All Items,Miscellaneous Goods & Services,43.427
1984,All Items,Food,58.227
1984,All Items,Food Excl Food Serving Services,na
1984,All Items,Food Serving Services,na
1984,All Items,Clothing & Footwear,84.674
1984,All Items,Housing & Utilities,57.137
1984,All Items,Household Durables & Services,70.492
1984,All Items,Health Care,42.312
1984,All Items,Transport,50.863
1984,All Items,Communication,139.199
1984,All Items,Recreation & Culture,72.938
1984,All Items,Education,24.83
1984,All Items,Miscellaneous Goods & Services,46.786
1985,All Items,Food,57.541
1985,All Items,Food Excl Food Serving Services,na
1985,All Items,Food Serving Services,na
1985,All Items,Clothing & Footwear,82.532
1985,All Items,Housing & Utilities,59.136
1985,All Items,Household Durables & Services,70.68
1985,All Items,Health Care,42.909
1985,All Items,Transport,53.6
1985,All Items,Communication,122.184
1985,All Items,Recreation & Culture,72.897
1985,All Items,Education,25.647
1985,All Items,Miscellaneous Goods & Services,47.563
1986,All Items,Food,56.684
1986,All Items,Food Excl Food Serving Services,na
1986,All Items,Food Serving Services,na
1986,All Items,Clothing & Footwear,80.644
1986,All Items,Housing & Utilities,57.788
1986,All Items,Household Durables & Services,70.768
1986,All Items,Health Care,42.755
1986,All Items,Transport,51.612
1986,All Items,Communication,116.512
1986,All Items,Recreation & Culture,73.6
1986,All Items,Education,27.459
1986,All Items,Miscellaneous Goods & Services,47.754
1987,All Items,Food,56.595
1987,All Items,Food Excl Food Serving Services,na
1987,All Items,Food Serving Services,na
1987,All Items,Clothing & Footwear,80.951
1987,All Items,Housing & Utilities,56.905
1987,All Items,Household Durables & Services,71.2
1987,All Items,Health Care,43.247
1987,All Items,Transport,52.2
1987,All Items,Communication,116.846
1987,All Items,Recreation & Culture,74.461
1987,All Items,Education,28.268
1987,All Items,Miscellaneous Goods & Services,50.329
1988,All Items,Food,57.382
1988,All Items,Food Excl Food Serving Services,na
1988,All Items,Food Serving Services,na
1988,All Items,Clothing & Footwear,83.712
1988,All Items,Housing & Utilities,56.9
1988,All Items,Household Durables & Services,72.102
1988,All Items,Health Care,44.16
1988,All Items,Transport,52.737
1988,All Items,Communication,116.846
1988,All Items,Recreation & Culture,76.565
1988,All Items,Education,30.216
1988,All Items,Miscellaneous Goods & Services,51.188
1989,All Items,Food,58.039
1989,All Items,Food Excl Food Serving Services,na
1989,All Items,Food Serving Services,na
1989,All Items,Clothing & Footwear,85.249
1989,All Items,Housing & Utilities,57.913
1989,All Items,Household Durables & Services,73.265
1989,All Items,Health Care,45.163
1989,All Items,Transport,55.494
1989,All Items,Communication,122.449
1989,All Items,Recreation & Culture,78.596
1989,All Items,Education,31.843
1989,All Items,Miscellaneous Goods & Services,52.867
1990,All Items,Food,58.489
1990,All Items,Food Excl Food Serving Services,58.259
1990,All Items,Food Serving Services,58.218
1990,All Items,Clothing & Footwear,85.986
1990,All Items,Housing & Utilities,62.102
1990,All Items,Household Durables & Services,75.765
1990,All Items,Health Care,47.407
1990,All Items,Transport,60.144
1990,All Items,Communication,125.254
1990,All Items,Recreation & Culture,80.047
1990,All Items,Education,34.469
1990,All Items,Miscellaneous Goods & Services,54.662
1991,All Items,Food,59.412
1991,All Items,Food Excl Food Serving Services,58.934
1991,All Items,Food Serving Services,59.385
1991,All Items,Clothing & Footwear,87.501
1991,All Items,Housing & Utilities,63.528
1991,All Items,Household Durables & Services,76.266
